is_simulcast,episode_count,audio_locales,title,keywords,subtitle_locales,description,content_provider,is_dubbed,series_launch_year,is_mature,is_subbed,id,season_count,maturity_ratings,average,total,1s_displayed,1s_unit,1s_percentage,2s_displayed,2s_unit,2s_percentage,3s_displayed,3s_unit,3s_percentage,4s_displayed,4s_unit,4s_percentage,5s_displayed,5s_unit,5s_percentage,season_tags
False,12,ja-JP,Mahjong Soul Pon☆,"comedy, sports","es-419, pt-BR, ru-RU, ar-SA, de-DE, fr-FR, it-IT, en-US, es-ES",Straight from the online game Mahjong Soul comes Mahjong Soul Pon. The new comical mini-anime adaptation of the game in which the one-of-a-kind Mahjong players dream big and go for a Thirteen Orphans. The Mahjong Soul Shrine is holding truly extrava-kan-t festivities centering around Ichihime! Are you ready to play the game fair and square? Maybe you can draw more Mahjong soul!,Yostar Inc.,False,2022,False,True,G1XHJVE9P,1,TV-14,4.2,391,28,,8,14,,4,45,,12,65,,17,239,,62,spring-2022
False,25,"en-US, ja-JP, pt-BR, es-419",SHADOWS HOUSE,drama,"en-US, es-419, it-IT, pt-BR, de-DE, ar-SA, fr-FR, ru-RU, es-ES","High atop a cliff sits the mansion known as Shadows House, home to a faceless clan that pretends to live like nobles. They express their emotions through living dolls that also endlessly clean the home of soot. One such servant, Emilico, aids her master Kate as they learn more about themselves and the mysteries of the house.",Aniplex of America,True,2022,False,True,G1XHJVEXE,2,TV-14,4.8,7601,116,,2,41,,1,141,,2,668,,9,6.6,K,88,summer-2022
False,1,"en-US, ja-JP",Mobile Suit Gundam Narrative,"sci-fi, action, drama","fr-FR, en-US, es-ES","One year has passed since the contents of Laplace's Box were revealed to the world at the end of the conflict called the ""Laplace Incident."" Despite the revelation of the Universal Century Charter that acknowledges the existence and rights of Newtypes, the framework of the world has not been greatly altered.",Sunrise,True,2023,False,True,G1XHJVWD3,1,TV-14,4.3,268,19,,8,6,,3,16,,6,53,,20,174,,65,
False,25,"ja-JP, en-US",X,,"en-US, fr-FR","Kamui stands alone at the crossroads between salvation and Armageddon. Torn between rival orders of superhuman warriors, the time has come for him to choose his side. Either he fights with the Dragons of Heaven to save civilization, or he must draw swords alongside the Dragons of Earth and deliver a death blow to the human race. Whatever his choice, there will be consequences.",ADK,True,2022,False,True,G1XHJVWV5,1,TV-14,4.3,551,54,,10,15,,3,31,,6,61,,12,390,,71,
False,13,"fr-FR, ja-JP, en-US",The Reincarnation Of The Strongest Exorcist In Another World,"fantasy, adventure","de-DE, ru-RU, pt-BR, es-ES, en-US, ar-SA, fr-FR, es-419, it-IT","Betrayed and on the brink of death, genius exorcist Haruyoshi Kuga still has an ace up his sleeve—a reincarnation spell. With a successful incantation taking him to a new world reborn as Seika Lamprogue into a distinguished wizard family, his only wish is to find happiness. But as Seika’s onmyō art exceeds this world’s magic, will he be able to live an easy, happy-go-lucky life?",asmikace,True,2023,False,True,G1XHJVWXG,1,TV-14,4.7,29470,407,,2,277,,1,994,,4,3.5,K,12,24.3,K,83,winter-2023
False,12,"ja-JP, en-US",takt op.Destiny,"música, ciencia ficción, acción, futurista, invasores, music, action, madhouse","de-DE, en-US, es-ES, it-IT, pt-BR, es-419, ar-SA, ru-RU, fr-FR","Music is the light that illuminates people's hearts-- and that ""light"" was suddenly taken from the world.
The world changed the night the black ""Kuroya Meteorite"" fell.
Grotesque monsters known as D2 emerged from the meteorite and began to overrun the land and people.
As the D2 were drawn to melodies people played, eventually ""music"" itself became taboo. 
However, those who opposed the monsters appeared. They the ""Musicart,"" girls who draw power from music.
They possess the great operas and musical scores of humanity history and use them to defeat the D2.",MAPPA,True,2021,False,True,G1XHJVXX2,1,TV-14,4.6,17653,337,,2,334,,2,954,,6,2.3,K,13,13.7,K,78,fall-2021
False,12,"de-DE, ru-RU, pt-BR, fr-FR, es-419, ja-JP, en-US",The Detective Is Already Dead,"drama, thriller, deutsche synchro","es-419, ar-SA, de-DE, fr-FR, pt-BR, en-US","After thwarting a hijacking with beautiful, silver-haired detective Siesta, Kimihiko leads a life of globe-trotting and crime-solving—until Siesta dies. A year later, a new case will open old wounds as it threads murder, conspiracy, and his dead partner!",Kadokawa Pictures Inc.,True,2023,False,True,G24H1N334,1,TV-14,4.5,3813,134,,4,114,,3,274,,8,584,,16,2.7,K,71,
False,24,"ja-JP, pt-BR, en-US, es-419",BACK ARROW,"sci-fi, action","en-US, ar-SA, pt-BR, it-IT, fr-FR, de-DE, ru-RU","The Wall covers, protects, cultivates, and nurtures the land of Lingalind. One day in Edger, a man named Back Arrow appears with no memory.",Aniplex of America,True,2023,False,True,G24H1N3J4,1,TV-14,4.1,499,35,,8,20,,5,63,,13,112,,23,269,,54,
True,30,"ja-JP, en-US",Mushoku Tensei: Jobless Reincarnation,"deutsche synchro, fantasy, adventure, drama","ar-SA, ru-RU, it-IT, es-ES, en-US, es-419, pt-BR, de-DE, fr-FR","When a 34-year-old underachiever gets run over by a truck, his story doesn't end there. Reincarnated in a new world as an infant, Rudy will seize every opportunity to live the life he's always wanted. Armed with new friends, some freshly acquired magical abilities, and the courage to do the things he's always dreamed of, he's embarking on an epic adventure—with all of his past experience intact!",Showgate,True,2023,False,True,G24H1N3MP,2,TV-14,4.9,92528,1.6,K,2,455,,1,917,,1,3.8,K,5,85.7,K,93,summer-2023
False,12,"pt-BR, en-US, ja-JP, es-419, hi-IN",Toilet-bound Hanako-kun,"comedy, fantasy","de-DE, fr-FR, en-US, es-419, es-ES, pt-BR","Kamome Academy is rumored to have many mysteries, the strangest of which involves the mischievous ghost of Hanako-kun. When occult-loving high schooler Nene Yashiro accidentally becomes bonded to him, she uncovers a hidden world of supernatural beings. Now the two of them are conspiring to keep the peace between student and supernatural—that is, if they can only stay out of trouble themselves.",TBS,True,2022,False,True,G24H1N3ZP,1,TV-14,4.8,12126,119,,1,59,,1,216,,2,934,,8,10.8,K,90,
